mutation_rate,generation_size,generation_count
0.500,2,80
generation_number, fitness,critical_path,max_fanin,max_fanout,op_type,op_num,node_count,RCA,CSLA,BE_CSLA
39,0.002095,13176,1968,122,ADD,30,54129,12,10,8
40,0.001579,13176,1968,122,ADD,30,54129,14,9,7
40,0.001931,13807,1968,122,ADD,30,54129,13,8,9
41,0.001579,13807,1968,122,ADD,30,54129,14,9,7
41,0.002028,14769,1968,122,ADD,30,54129,11,11,8
42,0.001579,14769,1968,122,ADD,30,54129,14,9,7
42,0.002038,13207,1968,122,ADD,30,54129,10,12,8
43,0.001579,13207,1968,122,ADD,30,54129,14,9,7
43,0.015484,13415,128,122,ADD,30,54129,15,6,9
44,0.001579,13415,128,122,ADD,30,54129,14,9,7
44,0.001686,12303,1968,122,ADD,30,54129,11,6,13
45,0.001579,12303,1968,122,ADD,30,54129,14,9,7
45,0.001782,12327,1968,122,ADD,30,54129,9,11,10
46,0.001579,12327,1968,122,ADD,30,54129,14,9,7
46,0.001823,13139,1968,122,ADD,30,54129,12,9,9
47,0.001579,13139,1968,122,ADD,30,54129,14,9,7
47,0.014753,13381,128,122,ADD,30,54129,11,10,9
48,0.001579,13381,128,122,ADD,30,54129,14,9,7
48,0.002021,13837,1968,122,ADD,30,54129,12,8,10
49,0.001579,13837,1968,122,ADD,30,54129,14,9,7
49,0.014283,12434,128,122,ADD,30,54129,12,9,9
50,0.001579,12434,128,122,ADD,30,54129,14,9,7
50,0.001783,12845,1968,122,ADD,30,54129,10,10,10
51,0.001579,12845,1968,122,ADD,30,54129,14,9,7
51,0.015150,13442,128,122,ADD,30,54129,11,9,10
52,0.001579,13442,128,122,ADD,30,54129,14,9,7
52,0.001974,12367,1968,122,ADD,30,54129,10,14,6
53,0.001579,12367,1968,122,ADD,30,54129,14,9,7
53,0.001833,13347,1968,122,ADD,30,54129,14,7,9
54,0.001579,13347,1968,122,ADD,30,54129,14,9,7
54,0.001781,13655,1968,122,ADD,30,54129,12,10,8
55,0.001579,13655,1968,122,ADD,30,54129,14,9,7
55,0.002118,12137,1968,122,ADD,30,54129,11,14,5
56,0.001579,12137,1968,122,ADD,30,54129,14,9,7
56,0.002007,13875,1968,122,ADD,30,54129,10,7,13
57,0.001579,13875,1968,122,ADD,30,54129,14,9,7
57,0.001785,12711,1968,122,ADD,30,54129,11,8,11
58,0.001579,12711,1968,122,ADD,30,54129,14,9,7
58,0.018428,14017,128,122,ADD,30,54129,12,7,11
59,0.001579,14017,128,122,ADD,30,54129,14,9,7
59,0.002025,12610,1968,122,ADD,30,54129,9,12,9
60,0.001579,12610,1968,122,ADD,30,54129,14,9,7
60,0.002114,12780,1968,122,ADD,30,54129,16,6,8
61,0.001579,12780,1968,122,ADD,30,54129,14,9,7
61,0.001722,12998,1968,122,ADD,30,54129,15,8,7
62,0.001579,12998,1968,122,ADD,30,54129,14,9,7
62,0.001834,13709,1968,122,ADD,30,54129,13,9,8
63,0.001579,13709,1968,122,ADD,30,54129,14,9,7
63,0.002004,13285,1968,122,ADD,30,54129,17,7,6
64,0.001579,13285,1968,122,ADD,30,54129,14,9,7
64,0.001828,13736,1968,122,ADD,30,54129,12,10,8
65,0.001579,13736,1968,122,ADD,30,54129,14,9,7
65,0.001892,12874,1968,122,ADD,30,54129,13,11,6
66,0.001579,12874,1968,122,ADD,30,54129,14,9,7
66,0.001822,13143,1968,122,ADD,30,54129,10,8,12
67,0.001579,13143,1968,122,ADD,30,54129,14,9,7
67,0.001752,13002,1968,122,ADD,30,54129,14,9,7
68,0.001579,13002,1968,122,ADD,30,54129,14,9,7
68,0.001923,13370,1968,122,ADD,30,54129,9,14,7
69,0.001579,13370,1968,122,ADD,30,54129,14,9,7
69,0.001750,12218,1968,122,ADD,30,54129,13,7,10
70,0.001579,12218,1968,122,ADD,30,54129,14,9,7
70,0.001703,12648,1968,122,ADD,30,54129,10,10,10
71,0.001579,12648,1968,122,ADD,30,54129,14,9,7
71,0.001971,13665,1968,122,ADD,30,54129,12,6,12
72,0.001579,13665,1968,122,ADD,30,54129,14,9,7
72,0.001901,14612,1968,122,ADD,30,54129,14,8,8
73,0.001579,14612,1968,122,ADD,30,54129,14,9,7
73,0.001906,14176,1968,122,ADD,30,54129,14,10,6
74,0.001579,14176,1968,122,ADD,30,54129,14,9,7
74,0.001748,12327,1968,122,ADD,30,54129,12,9,9
75,0.001579,12327,1968,122,ADD,30,54129,14,9,7
75,0.002175,13267,1968,122,ADD,30,54129,15,8,7
76,0.001579,13267,1968,122,ADD,30,54129,14,9,7
76,0.002201,14175,1968,122,ADD,30,54129,11,9,10
77,0.001579,14175,1968,122,ADD,30,54129,14,9,7
77,0.001769,13135,1968,122,ADD,30,54129,15,10,5
78,0.001579,13135,1968,122,ADD,30,54129,14,9,7
78,0.016119,12604,128,122,ADD,30,54129,13,13,4
79,0.001579,12604,128,122,ADD,30,54129,14,9,7
79,0.002048,13903,1968,122,ADD,30,54129,12,11,7
